Task_name,Id_number,Absorbing_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Age,Gender,Language,Country
1B,subject002,4.4,5.0,2.7,4.8,3.7,3.1,5.1,4.0,4.6,4.0,5.7,4.3,2.8,2.7,5.9,3.5,18.0,Man,English,Canada
1B,subject002,2.9,5.8,2.5,4.0,3.8,3.2,3.0,4.7,4.2,3.5,3.4,3.3,3.2,3.8,3.9,3.7,18.0,Man,English,Canada
2B-Face,subject002,5.7,4.3,4.5,4.6,4.3,3.9,5.9,5.7,5.3,4.0,5.2,5.1,5.4,4.8,5.3,3.7,18.0,Man,English,Canada
2B-Face,subject002,3.3,2.2,4.8,4.5,4.6,5.1,3.0,4.4,3.6,5.9,5.2,3.8,4.6,1.2,3.0,2.1,18.0,Man,English,Canada
2B-Scene,subject002,3.5,3.8,4.6,3.7,4.5,3.0,3.7,3.8,3.0,2.4,2.7,3.1,3.6,2.1,1.9,4.3,18.0,Man,English,Canada
2B-Scene,subject002,5.9,3.0,4.1,4.6,5.7,5.8,7.0,6.4,7.0,5.0,5.0,8.0,5.0,4.4,4.0,4.4,18.0,Man,English,Canada
Documentary,subject002,5.1,5.1,3.8,3.8,5.1,7.0,5.6,3.6,3.7,4.2,3.3,6.0,3.0,6.0,4.2,5.2,18.0,Man,English,Canada
Documentary,subject002,5.1,5.1,3.8,3.8,5.1,7.0,5.6,3.6,3.7,4.2,3.3,6.0,3.0,6.0,4.2,5.2,18.0,Man,English,Canada
EasyMath,subject002,4.0,6.5,5.0,5.9,1.2,7.3,5.0,6.4,5.1,4.6,5.3,6.0,6.1,5.7,5.7,5.1,18.0,Man,English,Canada
EasyMath,subject002,6.4,6.3,6.0,5.1,1.0,5.0,4.3,5.7,5.1,3.9,7.4,5.1,6.2,5.9,4.9,4.0,18.0,Man,English,Canada
EasyMath,subject002,4.7,7.0,5.0,2.6,1.0,3.3,5.4,4.4,3.4,6.1,6.4,8.0,3.9,5.5,5.0,5.4,18.0,Man,English,Canada
FingerTap,subject002,1.2,1.5,3.3,1.2,4.0,2.0,4.2,1.5,2.4,5.0,5.3,2.8,2.3,6.5,4.5,4.1,18.0,Man,English,Canada
FingerTap,subject002,3.2,2.9,3.5,1.7,2.8,3.0,1.5,2.2,1.8,2.8,2.9,2.0,1.7,5.8,3.3,2.0,18.0,Man,English,Canada
FingerTap,subject002,4.0,1.4,5.6,4.6,7.2,2.0,2.2,2.4,4.4,5.0,4.9,3.1,4.4,4.1,2.0,4.9,18.0,Man,English,Canada
Friend,subject002,4.8,3.3,3.3,5.0,2.3,8.4,9.5,2.0,2.7,5.5,7.4,8.0,3.3,7.9,2.5,7.0,18.0,Man,English,Canada
Friend,subject002,6.0,5.8,3.0,5.9,3.6,7.2,7.8,2.4,2.6,3.7,6.4,7.9,3.2,7.3,5.4,4.6,18.0,Man,English,Canada
Friend,subject002,7.0,6.5,2.2,4.7,2.5,8.5,8.9,3.1,2.2,4.5,9.1,8.6,2.8,7.3,2.3,5.1,18.0,Man,English,Canada
GoNoGo,subject002,2.6,2.0,3.0,3.6,2.0,1.0,4.3,1.9,3.3,3.1,3.0,5.4,3.1,5.1,4.9,3.8,18.0,Man,English,Canada
GoNoGo,subject002,6.0,5.5,3.3,5.9,5.3,3.4,4.1,6.0,3.4,5.1,4.4,2.2,3.7,4.4,3.2,7.0,18.0,Man,English,Canada
GoNoGo,subject002,3.2,3.0,4.1,4.0,3.3,3.0,5.3,6.1,3.7,4.9,4.0,5.5,4.0,4.4,2.9,4.6,18.0,Man,English,Canada
HardMath,subject002,6.8,1.9,9.0,1.6,2.9,2.3,2.3,3.0,1.6,2.0,5.2,5.2,2.0,5.0,2.6,4.0,18.0,Man,English,Canada
HardMath,subject002,3.0,1.4,7.0,2.4,1.0,1.4,3.4,1.0,1.0,2.9,2.6,5.5,2.0,5.5,1.0,5.6,18.0,Man,English,Canada
HardMath,subject002,2.6,6.7,6.7,4.2,3.3,7.0,1.2,1.2,3.5,5.1,5.3,5.2,2.1,5.1,1.6,3.0,18.0,Man,English,Canada
Memory,subject002,4.3,6.3,5.6,3.8,4.4,3.0,3.0,7.3,2.9,5.2,7.7,6.3,5.7,5.0,8.3,8.2,18.0,Man,English,Canada
Memory,subject002,7.5,9.1,3.8,3.5,8.5,9.4,9.3,8.7,6.9,6.2,9.0,7.9,7.6,8.6,3.0,6.7,18.0,Man,English,Canada
Memory,subject002,5.4,2.5,2.5,3.0,2.8,9.1,3.3,3.2,4.1,5.9,5.6,2.0,6.8,5.9,3.6,5.1,18.0,Man,English,Canada
Read,subject002,3.5,6.0,3.1,7.3,4.5,5.0,6.5,4.5,2.8,3.6,4.4,3.5,4.5,4.0,3.7,3.0,18.0,Man,English,Canada
Read,subject002,5.1,2.5,3.5,6.5,2.1,8.6,2.6,5.9,9.4,7.3,1.8,4.5,3.0,4.2,3.7,4.2,18.0,Man,English,Canada
Read,subject002,9.5,4.9,4.0,3.9,4.0,3.6,6.9,8.2,4.3,4.0,5.6,3.4,4.7,3.2,4.0,7.9,18.0,Man,English,Canada
SciFi,subject002,4.3,5.1,4.2,4.4,4.6,2.2,4.7,4.4,4.0,5.0,6.7,4.5,4.4,2.6,5.2,5.0,18.0,Man,English,Canada
SciFi,subject002,4.3,5.1,4.2,4.4,4.6,2.2,4.7,4.4,4.0,5.0,6.7,4.5,4.4,2.6,5.2,5.0,18.0,Man,English,Canada
You,subject002,4.4,7.6,3.8,6.9,2.3,3.2,8.1,1.0,3.6,4.9,7.4,3.0,2.7,5.0,8.5,6.9,18.0,Man,English,Canada
You,subject002,8.2,6.0,2.0,4.4,2.1,8.0,6.9,2.1,5.1,5.2,7.6,6.6,1.9,5.3,8.1,7.7,18.0,Man,English,Canada
You,subject002,8.9,7.1,2.1,5.9,1.8,6.5,6.7,1.7,2.0,5.6,6.8,6.4,1.5,5.8,6.2,8.7,18.0,Man,English,Canada
0B,subject003,2.0,7.0,9.0,5.0,3.0,3.0,6.0,6.0,6.0,9.0,2.0,6.0,4.0,10.0,4.0,3.0,18.0,Man,English,Canada
0B,subject003,8.0,5.0,2.0,10.0,4.0,8.0,4.0,8.0,4.0,5.0,3.0,2.0,8.0,2.0,3.0,6.0,18.0,Man,English,Canada
0B,subject003,10.0,3.0,9.0,8.0,3.0,7.0,8.0,7.0,9.0,5.7,10.0,10.0,2.0,6.0,10.0,2.0,18.0,Man,English,Canada
1B,subject003,9.0,10.0,7.0,10.0,8.0,9.0,7.0,2.0,8.0,5.0,2.0,2.0,3.0,4.0,6.0,3.0,18.0,Man,English,Canada
1B,subject003,7.0,5.0,4.0,9.0,6.0,4.0,4.0,8.0,10.0,9.0,10.0,6.0,6.0,9.0,7.0,3.0,18.0,Man,English,Canada
1B,subject003,6.0,8.0,2.0,4.0,6.0,7.0,3.0,3.0,6.0,2.0,4.0,7.0,5.0,6.0,3.0,8.0,18.0,Man,English,Canada
2B-Face,subject003,10.0,6.6,6.6,9.0,1.0,10.0,1.0,1.0,4.0,1.0,6.8,2.4,1.0,5.0,1.0,3.5,18.0,Man,English,Canada
2B-Face,subject003,10.0,1.0,6.7,10.0,1.0,9.2,4.0,1.0,2.0,1.0,7.7,5.2,7.0,6.9,1.0,2.7,18.0,Man,English,Canada
2B-Scene,subject003,9.1,1.0,7.9,1.0,1.0,8.0,5.0,3.0,1.0,3.1,6.9,7.4,1.0,6.5,1.0,5.0,18.0,Man,English,Canada
2B-Scene,subject003,10.0,1.0,7.6,8.5,1.0,10.0,6.7,1.0,2.8,1.0,7.7,7.8,1.0,8.0,1.0,5.4,18.0,Man,English,Canada
Documentary,subject003,3.9,7.0,1.0,5.8,2.0,8.2,3.0,8.2,9.2,3.4,1.2,5.7,8.0,7.0,5.0,7.0,18.0,Man,English,Canada
Documentary,subject003,3.9,7.0,1.0,5.8,2.0,8.2,3.0,8.2,9.2,3.4,1.2,5.7,8.0,7.0,5.0,7.0,18.0,Man,English,Canada
EasyMath,subject003,7.1,2.6,4.0,7.9,1.0,8.0,3.0,1.0,5.1,3.0,7.9,7.8,1.0,5.0,1.0,6.8,18.0,Man,English,Canada
EasyMath,subject003,5.9,1.0,7.3,10.0,1.0,1.0,1.0,1.0,3.1,1.0,8.3,8.0,1.0,6.6,1.0,7.4,18.0,Man,English,Canada
EasyMath,subject003,2.0,10.0,4.0,6.0,1.0,9.0,8.0,5.1,4.0,1.0,7.1,8.0,1.0,3.0,1.0,4.9,18.0,Man,English,Canada
FingerTap,subject003,6.2,1.0,3.0,6.0,1.0,7.0,1.0,3.0,2.0,1.0,1.0,5.8,1.0,6.7,1.0,1.0,18.0,Man,English,Canada
FingerTap,subject003,5.7,1.0,1.0,1.0,1.0,8.3,6.2,7.1,7.4,1.3,1.0,1.0,1.0,1.0,1.0,7.0,18.0,Man,English,Canada
FingerTap,subject003,3.1,3.5,1.0,1.0,2.3,1.0,1.0,8.8,8.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,Man,English,Canada
Friend,subject003,4.0,7.0,4.0,10.0,9.0,6.0,9.0,2.0,9.0,9.0,2.0,9.0,4.0,8.0,2.0,5.0,18.0,Man,English,Canada
Friend,subject003,2.0,7.0,4.0,2.0,10.0,4.0,8.0,2.0,7.0,7.0,7.0,6.0,4.0,4.0,6.0,3.0,18.0,Man,English,Canada
Friend,subject003,3.0,3.0,8.0,4.0,8.0,8.0,8.0,7.0,5.0,7.0,2.0,7.0,8.0,7.0,2.0,3.0,18.0,Man,English,Canada
GoNoGo,subject003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,Man,English,Canada
GoNoGo,subject003,2.4,2.8,6.5,8.3,1.0,8.9,1.2,5.5,2.1,2.6,4.0,4.7,1.0,2.0,1.8,7.9,18.0,Man,English,Canada
GoNoGo,subject003,1.0,1.1,1.0,1.0,1.0,1.7,2.6,8.3,10.0,7.7,1.0,1.0,1.0,1.1,1.0,1.0,18.0,Man,English,Canada
HardMath,subject003,8.8,2.5,10.0,7.0,1.0,1.0,6.6,1.0,1.0,1.0,8.0,10.0,1.0,10.0,1.0,5.0,18.0,Man,English,Canada
HardMath,subject003,10.0,1.0,10.0,1.0,1.0,1.9,6.5,4.0,3.9,1.0,8.7,8.6,1.0,10.0,1.0,7.5,18.0,Man,English,Canada
HardMath,subject003,3.5,1.0,7.1,6.0,1.0,1.0,1.0,1.0,2.8,1.5,7.5,10.0,1.1,7.0,2.4,5.7,18.0,Man,English,Canada
Memory,subject003,8.0,10.0,1.0,9.7,1.0,7.9,9.7,1.0,9.3,5.9,2.7,3.5,1.0,3.1,8.5,9.6,18.0,Man,English,Canada
Memory,subject003,8.2,8.7,1.0,1.8,1.5,8.4,8.9,1.8,3.4,2.8,4.3,8.4,2.1,8.3,8.7,9.1,18.0,Man,English,Canada
Memory,subject003,8.0,10.0,1.0,5.8,1.0,10.0,10.0,2.7,1.0,8.6,8.1,10.0,1.0,5.0,10.0,10.0,18.0,Man,English,Canada
Read,subject003,1.6,7.1,1.0,8.5,2.5,7.0,7.2,4.2,3.4,7.2,1.9,7.3,1.0,7.2,1.0,7.6,18.0,Man,English,Canada
Read,subject003,5.0,8.0,6.0,2.0,3.0,8.0,9.0,8.0,7.0,8.0,7.0,6.0,3.0,2.0,5.0,8.0,18.0,Man,English,Canada
Read,subject003,2.9,3.9,3.2,6.0,3.2,1.7,6.7,4.7,2.6,3.4,3.1,3.9,3.0,3.8,6.2,7.8,18.0,Man,English,Canada
SciFi,subject003,3.6,5.1,1.0,6.7,9.0,8.6,9.6,6.2,4.8,8.5,1.0,2.0,5.2,7.7,8.2,9.4,18.0,Man,English,Canada
SciFi,subject003,3.6,5.1,1.0,6.7,9.0,8.6,9.6,6.2,4.8,8.5,1.0,2.0,5.2,7.7,8.2,9.4,18.0,Man,English,Canada
You,subject003,3.0,3.0,10.0,7.0,5.0,2.0,5.0,2.0,2.0,6.0,8.0,5.0,3.0,5.0,3.0,10.0,18.0,Man,English,Canada
You,subject003,7.0,7.0,6.0,8.0,2.0,9.0,10.0,9.0,9.0,10.0,7.0,8.0,3.0,5.0,4.0,6.0,18.0,Man,English,Canada
You,subject003,4.0,5.0,4.0,8.0,8.0,5.0,10.0,7.0,5.0,3.0,4.0,3.0,2.0,4.0,6.0,10.0,18.0,Man,English,Canada
0B,subject004,1.2,1.0,1.4,1.3,7.0,9.7,1.0,1.0,3.2,1.0,9.8,1.0,1.0,5.1,2.3,1.0,18.0,Woman,English,Canada
0B,subject004,4.0,7.0,7.0,7.0,2.0,3.0,10.0,8.0,7.0,4.0,6.0,3.0,10.0,6.0,2.0,3.0,18.0,Woman,English,Canada
0B,subject004,9.0,7.0,8.0,9.0,6.0,10.0,4.0,9.0,9.0,2.0,2.0,4.0,3.0,6.0,2.0,6.0,18.0,Woman,English,Canada
1B,subject004,3.0,7.0,7.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,7.0,5.0,6.0,4.0,7.0,3.0,18.0,Woman,English,Canada
1B,subject004,2.0,7.0,9.0,6.0,9.0,6.0,2.0,4.0,6.0,10.0,4.0,4.0,6.0,3.0,7.0,9.0,18.0,Woman,English,Canada
1B,subject004,6.0,10.0,3.0,8.0,2.0,10.0,5.0,1.0,9.0,9.0,9.8,3.0,2.0,3.0,1.0,2.0,18.0,Woman,English,Canada
2B-Face,subject004,3.0,6.0,6.0,4.0,5.0,8.0,8.0,5.0,5.0,4.0,2.0,2.0,3.0,10.0,3.0,2.0,18.0,Woman,English,Canada
2B-Face,subject004,4.0,8.0,4.0,4.0,9.0,9.0,2.0,7.0,5.0,10.0,8.0,4.0,2.0,3.0,3.0,10.0,18.0,Woman,English,Canada
2B-Scene,subject004,6.0,10.0,10.0,4.0,4.0,9.0,5.0,3.0,5.0,5.0,7.0,9.0,9.0,7.0,5.0,5.0,18.0,Woman,English,Canada
2B-Scene,subject004,9.0,10.0,7.0,5.0,9.0,6.0,3.0,8.0,6.0,9.0,10.0,4.0,5.0,2.0,8.0,8.0,18.0,Woman,English,Canada
Documentary,subject004,9.5,9.3,10.0,4.7,10.0,9.3,8.7,2.0,4.4,9.1,7.0,7.3,7.0,9.3,10.0,8.4,18.0,Woman,English,Canada
Documentary,subject004,9.5,9.3,10.0,4.7,10.0,9.3,8.7,2.0,4.4,9.1,7.0,7.3,7.0,9.3,10.0,8.4,18.0,Woman,English,Canada
EasyMath,subject004,5.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,10.0,10.0,3.0,2.0,10.0,7.0,6.0,2.0,18.0,Woman,English,Canada
EasyMath,subject004,3.0,8.0,2.0,8.0,8.0,9.0,8.0,9.0,3.0,10.0,4.0,10.0,5.0,10.0,7.0,6.0,18.0,Woman,English,Canada
EasyMath,subject004,2.0,2.0,8.0,4.0,7.0,4.0,8.0,9.0,3.0,3.0,3.0,5.0,3.0,6.0,9.0,10.0,18.0,Woman,English,Canada
FingerTap,subject004,1.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.6,1.0,1.0,18.0,Woman,English,Canada
FingerTap,subject004,6.0,4.0,7.0,3.0,6.0,4.0,2.0,9.0,9.0,6.0,3.0,6.0,9.0,10.0,10.0,5.0,18.0,Woman,English,Canada
FingerTap,subject004,10.0,8.0,4.0,6.0,6.0,3.0,9.0,4.0,9.0,2.0,3.0,3.0,6.0,10.0,6.0,4.0,18.0,Woman,English,Canada
Friend,subject004,8.5,9.0,6.0,10.0,6.0,5.4,9.4,10.0,8.9,6.6,5.0,10.0,10.0,4.6,5.0,7.0,18.0,Woman,English,Canada
Friend,subject004,6.9,10.0,9.7,4.9,5.7,6.0,9.0,9.3,8.0,5.3,3.6,8.6,8.9,5.1,10.0,8.7,18.0,Woman,English,Canada
Friend,subject004,9.0,8.0,8.0,7.7,3.0,6.4,6.0,9.2,7.0,8.0,9.0,8.0,9.0,4.6,8.0,10.0,18.0,Woman,English,Canada
GoNoGo,subject004,2.0,9.0,3.0,3.0,7.0,9.0,3.0,6.0,2.0,8.0,3.0,3.0,3.0,2.0,6.0,2.0,18.0,Woman,English,Canada
GoNoGo,subject004,6.0,5.0,5.0,9.0,7.0,6.0,5.0,9.0,4.0,5.0,6.0,8.0,4.0,4.0,10.0,8.0,18.0,Woman,English,Canada
GoNoGo,subject004,9.0,2.0,8.0,5.0,3.0,9.0,3.0,3.0,8.0,3.0,3.0,6.0,9.0,2.0,6.0,9.0,18.0,Woman,English,Canada
HardMath,subject004,3.0,3.0,3.4,6.0,1.0,5.7,1.7,1.2,5.7,3.0,10.0,10.0,1.0,8.0,9.8,2.6,18.0,Woman,English,Canada
HardMath,subject004,1.0,3.0,4.5,1.0,1.0,9.0,1.0,1.0,2.1,1.0,10.0,1.0,1.0,5.5,8.6,5.4,18.0,Woman,English,Canada
HardMath,subject004,5.0,10.0,3.0,7.0,10.0,3.0,2.0,8.0,5.0,10.0,4.0,9.0,6.0,6.0,4.0,5.0,18.0,Woman,English,Canada
Memory,subject004,7.0,7.0,2.0,6.0,2.0,3.0,10.0,10.0,10.0,2.0,4.0,10.0,7.0,4.0,8.0,6.0,18.0,Woman,English,Canada
Memory,subject004,6.3,1.0,7.0,9.7,2.0,7.6,10.0,8.0,10.0,10.0,10.0,7.7,1.1,9.5,10.0,10.0,18.0,Woman,English,Canada
Memory,subject004,5.0,4.0,5.0,3.0,5.0,8.0,7.0,8.0,7.0,3.0,8.0,9.0,3.5,1.2,10.0,10.0,18.0,Woman,English,Canada
Read,subject004,7.0,2.0,3.0,3.0,9.0,2.0,7.0,8.0,10.0,2.0,10.0,7.0,9.0,5.0,6.0,3.0,18.0,Woman,English,Canada
Read,subject004,9.1,6.9,4.4,3.9,7.0,3.0,10.0,7.2,5.2,1.2,7.0,5.7,2.0,5.2,3.1,9.0,18.0,Woman,English,Canada
Read,subject004,5.0,9.0,3.0,10.0,9.0,10.0,5.0,3.0,5.0,8.0,6.0,8.0,2.0,2.0,10.0,7.0,18.0,Woman,English,Canada
SciFi,subject004,4.0,5.0,2.0,10.0,10.0,10.0,4.0,2.0,3.0,4.0,3.0,3.0,9.0,7.0,5.0,7.0,18.0,Woman,English,Canada
SciFi,subject004,4.0,5.0,2.0,10.0,10.0,10.0,4.0,2.0,3.0,4.0,3.0,3.0,9.0,7.0,5.0,7.0,18.0,Woman,English,Canada
You,subject004,10.0,10.0,6.9,9.9,6.4,7.9,9.3,8.0,7.0,8.8,5.1,5.1,9.0,4.9,8.6,5.6,18.0,Woman,English,Canada
You,subject004,5.0,8.0,9.0,8.0,7.0,10.0,9.0,10.0,7.0,5.0,4.0,7.0,9.0,5.0,2.0,4.0,18.0,Woman,English,Canada
You,subject004,10.0,9.3,9.0,7.3,5.4,5.0,9.3,8.8,8.8,8.0,2.7,8.0,8.7,4.7,10.0,10.0,18.0,Woman,English,Canada
0B,subject005,7.5,7.0,6.0,7.4,4.1,4.1,2.0,9.5,7.0,1.0,1.6,2.0,8.0,5.0,10.0,5.0,19.0,Man,English,Canada
0B,subject005,2.0,9.0,2.3,9.0,4.0,4.1,1.0,6.6,8.0,3.0,3.0,3.1,5.0,1.0,2.0,4.0,19.0,Man,English,Canada
0B,subject005,6.0,8.0,2.0,3.0,7.0,3.0,7.0,10.0,10.0,2.0,7.0,6.0,3.0,8.0,7.0,3.0,19.0,Man,English,Canada
1B,subject005,7.0,7.2,8.0,6.0,6.0,6.0,9.0,2.4,4.0,1.0,7.0,8.0,10.0,3.7,5.0,7.0,19.0,Man,English,Canada
1B,subject005,9.0,10.0,7.0,2.0,6.7,2.0,8.0,6.0,2.0,5.0,7.0,3.0,2.0,4.9,3.8,3.7,19.0,Man,English,Canada
1B,subject005,2.0,6.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,6.0,10.0,8.0,9.0,8.0,3.9,9.0,19.0,Man,English,Canada
2B-Face,subject005,2.6,10.0,4.3,2.0,1.0,7.1,6.6,4.3,1.7,1.0,4.0,3.9,6.5,5.1,1.0,5.4,19.0,Man,English,Canada
