Task_name,Id_number,Absorbing_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Age,Gender
HardMath-Rep,subject_15,10.0,7.4,10.0,10.0,1.0,9.0,8.9,2.6,2.3,1.8,7.6,9.5,1.0,5.0,2.5,7.2,17.0,Woman
HardMath-Rep,subject_15,10.0,1.0,10.0,10.0,1.0,3.2,10.0,1.0,1.4,2.2,6.8,9.2,1.0,5.0,2.1,10.0,17.0,Woman
HardMath-Rep,subject_15,8.6,7.6,8.2,7.3,10.0,8.4,3.0,10.0,8.8,8.3,1.5,4.7,8.0,4.0,8.0,5.0,17.0,Woman
Memory-Rep,subject_15,10.0,6.1,5.6,3.0,1.0,10.0,10.0,3.1,2.4,4.6,4.4,3.4,1.0,8.1,8.9,9.0,17.0,Woman
Memory-Rep,subject_15,10.0,10.0,2.0,10.0,8.0,10.0,10.0,2.9,1.0,4.1,3.3,6.4,3.9,4.2,10.0,10.0,17.0,Woman
Memory-Rep,subject_15,10.0,10.0,1.0,3.1,7.0,7.5,9.0,5.7,3.6,7.0,3.9,2.4,5.2,5.0,5.5,8.2,17.0,Woman
Documentary-Rep,subject_16,6.1,7.9,2.6,2.5,1.0,1.7,6.5,4.0,2.5,3.6,5.0,2.9,5.9,5.5,8.5,6.5,19.0,Woman
Documentary-Rep,subject_16,7.5,9.1,5.2,1.3,1.6,4.8,2.1,5.5,3.3,2.0,4.8,8.0,7.6,7.8,9.2,6.6,19.0,Woman
GoNoGo-Rep,subject_16,5.2,1.9,6.9,1.0,2.6,10.0,2.2,5.0,4.5,3.0,7.7,5.0,3.0,5.7,3.8,7.5,19.0,Woman
GoNoGo-Rep,subject_16,6.3,3.6,7.4,2.8,2.8,9.0,7.9,7.3,7.0,4.1,5.1,3.8,4.8,4.6,3.1,7.2,19.0,Woman
GoNoGo-Rep,subject_16,7.4,1.5,8.7,3.1,1.0,9.5,10.0,3.4,2.7,2.3,9.0,9.0,4.8,7.4,4.5,9.1,19.0,Woman
HardMath-Rep,subject_16,8.1,6.6,8.5,3.4,2.1,3.0,9.2,9.5,9.4,8.7,3.0,3.2,8.3,2.9,8.7,5.8,19.0,Woman
HardMath-Rep,subject_16,9.1,2.5,9.8,1.0,2.1,4.3,7.9,7.9,7.5,5.7,5.3,6.3,4.6,3.8,6.6,9.3,19.0,Woman
HardMath-Rep,subject_16,9.1,3.6,8.0,3.0,1.7,3.3,7.1,9.5,9.0,8.6,4.4,4.3,6.8,2.7,8.5,8.5,19.0,Woman
Memory-Rep,subject_16,8.5,10.0,1.9,2.0,2.6,10.0,10.0,5.2,6.3,2.3,9.0,8.8,3.0,9.0,9.0,10.0,19.0,Woman
Memory-Rep,subject_16,7.0,8.8,3.8,3.4,6.6,9.3,10.0,7.0,4.9,2.7,9.0,8.8,4.1,9.6,10.0,10.0,19.0,Woman
Memory-Rep,subject_16,4.3,8.5,3.3,1.0,8.5,6.1,6.1,9.3,6.6,4.9,3.4,6.2,6.3,7.0,6.7,8.3,19.0,Woman
Documentary-Rep,subject_17,8.9,8.1,2.8,10.0,9.9,8.3,7.7,1.0,9.3,8.5,1.9,8.0,1.0,7.6,1.0,8.0,19.0,Woman
Documentary-Rep,subject_17,10.0,10.0,1.8,7.1,9.1,9.0,10.0,3.3,10.0,9.4,2.0,9.4,10.0,8.1,2.4,10.0,19.0,Woman
GoNoGo-Rep,subject_17,6.0,1.0,5.1,1.0,8.0,8.8,1.0,2.4,8.0,8.5,1.3,2.1,1.0,5.9,1.0,1.0,19.0,Woman
GoNoGo-Rep,subject_17,1.3,1.0,6.3,1.0,8.9,10.0,1.0,1.0,8.0,10.0,10.0,3.0,4.2,6.3,1.0,4.8,19.0,Woman
GoNoGo-Rep,subject_17,7.0,1.0,5.7,1.0,5.2,10.0,10.0,1.0,9.7,6.0,9.4,7.3,1.0,8.0,1.0,9.0,19.0,Woman
HardMath-Rep,subject_17,5.7,4.7,2.4,7.3,1.0,1.0,6.8,5.0,8.0,10.0,1.0,3.4,4.5,1.7,8.0,1.9,19.0,Woman
HardMath-Rep,subject_17,9.2,2.9,9.2,1.0,3.2,1.5,1.0,5.8,9.9,7.3,3.5,2.7,1.0,3.3,7.1,4.7,19.0,Woman
HardMath-Rep,subject_17,6.6,2.3,10.0,1.0,1.0,1.0,1.0,2.5,10.0,7.7,9.1,3.6,1.0,7.1,1.0,8.6,19.0,Woman
Memory-Rep,subject_17,10.0,7.3,1.0,10.0,7.9,9.0,10.0,10.0,10.0,4.2,8.4,10.0,1.5,10.0,10.0,10.0,19.0,Woman
Memory-Rep,subject_17,10.0,10.0,1.0,9.4,1.7,1.0,10.0,10.0,5.9,7.7,5.5,10.0,1.0,1.0,10.0,10.0,19.0,Woman
Memory-Rep,subject_17,10.0,10.0,1.0,10.0,1.0,1.0,10.0,10.0,7.2,8.0,1.0,8.0,1.0,10.0,1.0,10.0,19.0,Woman
Documentary-Rep,subject_2,3.0,3.5,5.0,4.5,4.0,5.0,1.0,5.5,6.5,5.5,3.0,4.0,3.0,4.0,2.5,5.5,18.0,Man
Documentary-Rep,subject_2,3.0,2.5,4.5,6.5,4.0,5.0,2.5,5.5,4.0,6.0,3.0,3.5,1.0,4.0,2.0,4.0,18.0,Man
GoNoGo-Rep,subject_2,4.0,1.0,4.0,3.0,5.0,7.0,4.5,7.0,7.5,3.0,3.0,4.0,2.5,4.0,3.0,9.0,18.0,Man
GoNoGo-Rep,subject_2,3.0,2.0,5.0,6.0,7.0,5.0,4.0,4.0,4.0,3.0,8.0,6.0,6.0,4.0,4.0,10.0,18.0,Man
GoNoGo-Rep,subject_2,8.0,3.0,4.0,6.0,4.0,4.0,3.0,1.0,5.0,4.0,7.0,4.0,4.0,7.0,3.0,10.0,18.0,Man
HardMath-Rep,subject_2,9.0,3.0,9.0,7.5,5.0,5.0,6.0,2.5,6.0,4.0,8.0,4.0,2.0,9.0,4.0,10.0,18.0,Man
HardMath-Rep,subject_2,7.0,2.0,7.5,4.0,4.0,5.0,4.0,3.0,6.0,2.0,8.0,5.0,2.5,6.5,4.0,9.0,18.0,Man
HardMath-Rep,subject_2,7.0,3.0,8.0,5.5,5.0,3.5,3.5,2.0,6.0,3.0,9.0,4.5,2.5,7.0,3.5,9.0,18.0,Man
Memory-Rep,subject_2,6.5,3.0,4.0,4.0,5.5,9.5,10.0,4.5,7.0,3.5,5.5,7.0,2.0,9.0,8.0,8.0,18.0,Man
Memory-Rep,subject_2,8.0,7.0,3.5,7.0,7.5,8.0,10.0,4.0,7.5,2.0,3.0,5.0,1.0,3.5,8.0,8.5,18.0,Man
Memory-Rep,subject_2,10.0,9.0,7.0,4.0,5.0,9.0,10.0,6.5,3.5,1.0,6.0,5.0,3.0,10.0,5.0,9.5,18.0,Man
Documentary-Rep,subject_21,4.6,5.0,1.1,10.0,2.5,2.5,4.2,1.6,8.4,7.1,3.7,8.7,5.2,4.8,4.7,4.2,18.0,Non-binary or similar gender identity
Documentary-Rep,subject_21,5.1,7.1,2.2,10.0,1.0,3.5,4.0,1.0,5.9,6.0,3.5,7.8,5.4,5.7,3.7,6.7,18.0,Non-binary or similar gender identity
GoNoGo-Rep,subject_21,10.0,1.0,1.0,3.7,1.0,10.0,4.6,1.0,10.0,3.0,2.6,3.4,1.0,2.7,3.8,1.0,18.0,Non-binary or similar gender identity
GoNoGo-Rep,subject_21,10.0,1.0,1.0,5.9,1.0,8.5,4.5,1.0,9.0,3.3,5.0,5.0,6.4,5.2,4.0,5.4,18.0,Non-binary or similar gender identity
GoNoGo-Rep,subject_21,7.2,1.0,1.0,3.5,1.0,9.2,5.1,6.5,10.0,8.6,7.2,6.8,5.7,4.0,6.7,6.1,18.0,Non-binary or similar gender identity
HardMath-Rep,subject_21,6.2,1.0,9.4,10.0,2.8,1.0,6.0,1.0,6.8,4.1,5.0,10.0,2.3,7.3,3.9,8.5,18.0,Non-binary or similar gender identity
HardMath-Rep,subject_21,10.0,2.3,8.7,10.0,4.3,1.0,1.1,2.8,9.7,7.0,4.8,7.1,1.9,8.4,8.0,7.8,18.0,Non-binary or similar gender identity
HardMath-Rep,subject_21,8.8,1.0,7.4,10.0,4.3,1.0,3.0,2.9,10.0,9.0,4.1,6.7,3.7,5.2,5.9,5.4,18.0,Non-binary or similar gender identity
Memory-Rep,subject_21,9.6,5.2,1.0,10.0,1.0,6.4,8.3,7.3,4.0,8.8,2.8,8.1,4.6,5.7,7.9,8.9,18.0,Non-binary or similar gender identity
Memory-Rep,subject_21,8.8,8.5,1.0,9.2,1.0,6.8,10.0,2.0,8.5,3.4,8.0,4.5,1.0,4.0,7.7,10.0,18.0,Non-binary or similar gender identity
Memory-Rep,subject_21,7.9,8.8,1.0,10.0,1.0,6.2,10.0,1.0,7.2,2.0,8.8,7.2,1.0,7.8,7.9,10.0,18.0,Non-binary or similar gender identity
Documentary-Rep,subject_22,3.6,9.0,1.0,6.6,4.0,8.6,2.0,3.7,6.8,3.9,2.1,1.5,2.2,8.3,7.5,9.2,18.0,Woman
Documentary-Rep,subject_22,4.1,4.6,2.5,7.9,3.7,8.1,6.7,3.4,6.0,1.3,1.5,3.2,2.1,5.0,4.8,4.8,18.0,Woman
GoNoGo-Rep,subject_22,9.6,2.0,3.1,9.0,1.0,9.4,1.8,1.0,2.7,1.0,9.0,4.1,2.5,8.0,8.4,10.0,18.0,Woman
GoNoGo-Rep,subject_22,8.8,2.9,4.3,9.0,1.0,6.6,1.0,1.0,3.3,1.0,9.4,6.3,3.1,9.1,9.4,10.0,18.0,Woman
GoNoGo-Rep,subject_22,7.5,8.5,8.0,9.4,1.0,8.9,1.6,1.2,7.0,1.8,7.7,8.0,4.7,8.4,10.0,10.0,18.0,Woman
HardMath-Rep,subject_22,8.8,1.0,8.6,3.9,1.6,2.8,2.0,1.0,1.0,1.0,8.0,7.9,1.6,7.0,7.0,10.0,18.0,Woman
HardMath-Rep,subject_22,9.5,8.5,8.7,6.0,1.0,2.9,2.2,7.2,7.5,4.7,8.5,7.8,6.9,4.3,8.1,10.0,18.0,Woman
HardMath-Rep,subject_22,6.6,7.9,9.5,4.1,1.0,1.7,1.5,2.1,3.2,5.8,8.5,7.4,4.5,3.9,8.4,9.2,18.0,Woman
Memory-Rep,subject_22,6.4,10.0,2.2,9.0,1.8,10.0,9.5,1.0,3.0,2.5,7.9,3.9,1.0,6.3,2.5,10.0,18.0,Woman
Memory-Rep,subject_22,8.0,8.9,4.1,9.6,1.0,8.7,10.0,1.7,1.5,1.7,8.0,7.1,1.0,8.8,9.3,10.0,18.0,Woman
Memory-Rep,subject_22,6.8,3.9,4.1,9.4,1.0,7.3,10.0,2.3,3.0,3.0,4.5,7.0,1.7,6.1,2.7,9.3,18.0,Woman
Documentary-Rep,subject_23,6.7,6.8,5.5,5.2,5.5,6.6,7.3,6.9,7.0,7.6,3.3,6.2,6.8,4.9,5.9,8.0,18.0,Woman
Documentary-Rep,subject_23,7.7,7.3,4.0,2.9,8.0,9.4,6.9,7.2,8.1,7.4,5.8,7.5,6.6,3.8,7.5,8.3,18.0,Woman
GoNoGo-Rep,subject_23,7.8,2.9,6.1,6.7,6.3,7.4,2.9,6.3,7.7,7.0,3.8,4.3,2.5,5.8,3.3,6.8,18.0,Woman
GoNoGo-Rep,subject_23,7.3,4.0,6.7,6.8,6.6,6.7,2.0,9.8,7.7,7.2,5.1,3.7,4.1,5.1,4.7,7.0,18.0,Woman
